"train","test","r2","mae","rmse","cor"
"2017_early 2017-07-07","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-07-10","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-09","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-12","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-14","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-16","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-19","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-21","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-23","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-26","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-30","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-03","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-05","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-07","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-10","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-21","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-23","2017_early 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-26","2017_early 2017-06-26",NA,NA,NA,NA
"2018 2018-06-13","2017_early 2017-06-26",NA,NA,NA,NA
"2018 2018-06-15","2017_early 2017-06-26",NA,NA,NA,NA
"2018 2018-06-20","2017_early 2017-06-26",NA,NA,NA,NA
"2018 2018-06-22","2017_early 2017-06-26",NA,NA,NA,NA
"2018 2018-06-25","2017_early 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-06-30",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-06-30",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-06-30",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-06-30",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-06-30",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-06-30",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-06-30",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-07-03",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-07-03",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-07-03",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-07-03",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-07-03",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-07-03",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-07-03",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-07-05",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-07-05",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-07-05",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-07-05",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-07-05",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-07-05",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-07-05",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-07-07",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-07-07",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-07-07",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-07-07",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-07-07",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-07-07",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-07-07",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-07-10",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-07-10",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-07-10",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-07-10",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-07-10",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-07-10",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-07-10",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-06-21",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-06-21",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-06-21",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-06-21",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-06-21",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-06-21",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-06-21",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-06-23",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-06-23",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-06-23",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-06-23",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-06-23",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-06-23",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-06-23",NA,NA,NA,NA
"2017_early 2017-06-07","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-30","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-07-03","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-07-05","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-07-07","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-07-10","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-09","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-12","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-14","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-16","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-19","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-21","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-23","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-26","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-30","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-03","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-05","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-07","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-07-10","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-21","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-23","2017_late 2017-06-26",NA,NA,NA,NA
"2017_late 2017-06-26","2017_late 2017-06-26",NA,NA,NA,NA
"2018 2018-06-13","2017_late 2017-06-26",NA,NA,NA,NA
"2018 2018-06-15","2017_late 2017-06-26",NA,NA,NA,NA
"2018 2018-06-20","2017_late 2017-06-26",NA,NA,NA,NA
"2018 2018-06-22","2017_late 2017-06-26",NA,NA,NA,NA
"2018 2018-06-25","2017_late 2017-06-26",NA,NA,NA,NA
"2017_early 2017-06-07","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-30","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-07-03","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-07-05","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-07-07","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-07-10","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-09","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-12","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-14","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-16","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-19","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-21","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-23","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-26","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-06-30","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-07-03","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-07-05","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-07-07","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-07-10","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-06-21","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-06-23","2018 2018-06-13",NA,NA,NA,NA
"2017_late 2017-06-26","2018 2018-06-13",NA,NA,NA,NA
"2018 2018-06-13","2018 2018-06-13",NA,NA,NA,NA
"2018 2018-06-15","2018 2018-06-13",NA,NA,NA,NA
"2018 2018-06-20","2018 2018-06-13",NA,NA,NA,NA
"2018 2018-06-22","2018 2018-06-13",NA,NA,NA,NA
"2018 2018-06-25","2018 2018-06-13",NA,NA,NA,NA
"2017_early 2017-06-07","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-30","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-07-03","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-07-05","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-07-07","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-07-10","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-09","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-12","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-14","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-16","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-19","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-21","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-23","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-26","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-06-30","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-07-03","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-07-05","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-07-07","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-07-10","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-06-21","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-06-23","2018 2018-06-15",NA,NA,NA,NA
"2017_late 2017-06-26","2018 2018-06-15",NA,NA,NA,NA
"2018 2018-06-13","2018 2018-06-15",NA,NA,NA,NA
"2018 2018-06-15","2018 2018-06-15",NA,NA,NA,NA
"2018 2018-06-20","2018 2018-06-15",NA,NA,NA,NA
"2018 2018-06-22","2018 2018-06-15",NA,NA,NA,NA
"2018 2018-06-25","2018 2018-06-15",NA,NA,NA,NA
"2017_early 2017-06-07","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-30","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-07-03","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-07-05","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-07-07","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-07-10","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-09","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-12","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-14","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-16","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-19","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-21","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-23","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-26","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-06-30","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-07-03","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-07-05","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-07-07","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-07-10","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-06-21","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-06-23","2018 2018-06-20",NA,NA,NA,NA
"2017_late 2017-06-26","2018 2018-06-20",NA,NA,NA,NA
"2018 2018-06-13","2018 2018-06-20",NA,NA,NA,NA
"2018 2018-06-15","2018 2018-06-20",NA,NA,NA,NA
"2018 2018-06-20","2018 2018-06-20",NA,NA,NA,NA
"2018 2018-06-22","2018 2018-06-20",NA,NA,NA,NA
"2018 2018-06-25","2018 2018-06-20",NA,NA,NA,NA
"2017_early 2017-06-07","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-30","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-07-03","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-07-05","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-07-07","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-07-10","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-09","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-12","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-14","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-16","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-19","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-21","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-23","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-26","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-06-30","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-07-03","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-07-05","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-07-07","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-07-10","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-06-21","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-06-23","2018 2018-06-22",NA,NA,NA,NA
"2017_late 2017-06-26","2018 2018-06-22",NA,NA,NA,NA
"2018 2018-06-13","2018 2018-06-22",NA,NA,NA,NA
"2018 2018-06-15","2018 2018-06-22",NA,NA,NA,NA
"2018 2018-06-20","2018 2018-06-22",NA,NA,NA,NA
"2018 2018-06-22","2018 2018-06-22",NA,NA,NA,NA
"2018 2018-06-25","2018 2018-06-22",NA,NA,NA,NA
"2017_early 2017-06-07","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-30","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-07-03","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-07-05","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-07-07","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-07-10","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-09","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-12","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-14","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-16","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-19","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-21","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-23","2018 2018-06-25",NA,NA,NA,NA
"2017_early 2017-06-26","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-06-30","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-07-03","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-07-05","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-07-07","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-07-10","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-06-21","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-06-23","2018 2018-06-25",NA,NA,NA,NA
"2017_late 2017-06-26","2018 2018-06-25",NA,NA,NA,NA
"2018 2018-06-13","2018 2018-06-25",NA,NA,NA,NA
"2018 2018-06-15","2018 2018-06-25",NA,NA,NA,NA
"2018 2018-06-20","2018 2018-06-25",NA,NA,NA,NA
"2018 2018-06-22","2018 2018-06-25",NA,NA,NA,NA
"2018 2018-06-25","2018 2018-06-25",NA,NA,NA,NA
