"plot_id","line","audpc","trial","Name","CR","CR_2","CR_3","CR_4","CR_5","CR_6","CR_7","CR_8","CR_9","CR_11","CR_12","CR_13","CR_15","CR_16","heading_date"
5001,"SD111939",1432,"2017_early","SD111939",5,5,5,1,20,40,40,40,50,60,70,80,80,100,27
5002,"MN04232",1377,"2017_early","MN04232",5,1,1,1,30,40,40,40,60,50,70,70,70,90,28
5003,"ND100362",1205,"2017_early","ND100362",5,5,1,0,40,30,40,30,40,40,60,70,60,90,31
5004,"MN09105",1297,"2017_early","MN09105",5,5,1,1,20,20,50,30,40,50,70,80,80,100,24
5005,"MN841801-1",1158,"2017_early","MN841801-1",1,1,1,1,30,20,40,40,40,50,60,40,60,100,25
5006,"OA1341-1",1218,"2017_early","OA1341-1",1,1,1,1,20,20,40,30,40,60,70,60,70,90,31
5007,"Deon",891,"2017_early","Deon",1,1,1,0,10,10,30,20,30,50,50,50,40,80,28
5008,"MN07204",747.5,"2017_early","MN07204",0,1,1,0,10,5,20,20,20,40,40,50,40,70,29
5009,"Marvelous",1198.5,"2017_early","Marvelous",1,1,0,0,20,20,40,30,30,60,70,70,70,90,35
5010,"SD110808",1253,"2017_early","SD110808",1,1,1,1,10,20,40,30,30,70,70,70,80,100,28
5011,"IL09-5745",1235.5,"2017_early","IL09-5745",1,1,1,1,5,10,30,20,30,70,70,90,90,100,21
5012,"MN841801-1",956,"2017_early","MN841801-1",1,1,1,0,10,10,30,20,20,60,50,50,60,90,26
5013,"SD111931",1100,"2017_early","SD111931",0,1,1,0,10,10,20,20,30,60,60,70,80,100,25
5014,"HA07-02X22-3",1128.5,"2017_early","HA07-02X22-3",1,1,0,0,10,10,30,20,30,50,70,80,80,100,33
5015,"IA02168-1-1",1318.5,"2017_early","IA02168-1-1",1,1,1,0,5,10,30,30,40,70,80,90,90,100,19
5016,"SD041451",865,"2017_early","SD041451",0,1,1,0,5,5,10,10,20,50,50,60,60,100,25
5017,"WIX9150-1",380,"2017_early","WIX9150-1",0,0,1,0,5,1,5,5,10,30,20,20,20,40,24
5018,"OT2074",447.5,"2017_early","OT2074",0,1,0,0,10,1,10,5,10,30,30,30,20,40,32
5019,"SD100719",1132.5,"2017_early","SD100719",0,1,1,0,5,10,20,30,30,60,60,80,80,100,22
5020,"CLINTFORD",842.5,"2017_early","CLINTFORD",0,1,0,0,5,1,10,20,20,50,50,50,60,90,26
5021,"WIX9287-2",580,"2017_early","WIX9287-2",0,1,1,0,5,5,10,10,10,40,40,30,20,80,22
5022,"MN11140",295,"2017_early","MN11140",0,1,1,0,5,5,10,5,10,20,30,10,10,5,24
5023,"Marvelous",985,"2017_early","Marvelous",0,1,1,0,10,10,20,20,30,50,50,70,70,80,35
5024,"SD120524",1151,"2017_early","SD120524",1,1,0,0,10,5,30,30,30,60,60,80,80,100,21
5029,"Deon",555,"2017_early","Deon",0,1,0,0,0,1,10,10,20,30,30,30,30,80,29
5030,"SD050938",1078.5,"2017_early","SD050938",1,0,0,0,5,10,20,20,40,50,60,80,70,100,22
5031,"SD110640",973,"2017_early","SD110640",1,1,1,1,5,5,20,20,30,50,60,80,50,90,22
5032,"Marvelous",908.5,"2017_early","Marvelous",1,1,0,0,10,10,30,20,30,40,60,60,50,70,36
5033,"SD120638",630,"2017_early","SD120638",0,0,0,0,0,1,5,5,10,40,30,60,40,90,18
5034,"06P04A-E07B3",548.5,"2017_early","06P04A-E07B3",1,1,0,0,1,5,20,10,20,30,40,40,20,40,32
5035,"IL05-9931",870,"2017_early","IL05-9931",0,1,1,0,1,5,20,20,30,50,50,60,40,90,23
5036,"SD110765",1091,"2017_early","SD110765",1,0,1,0,5,10,20,20,40,60,60,80,60,100,22
5037,"P021A1-25-53",1283.5,"2017_early","P021A1-25-53",1,1,1,0,5,10,30,30,50,70,70,80,80,100,24
5038,"OA1271-3",690,"2017_early","OA1271-3",0,0,0,0,1,5,10,10,20,40,40,30,50,90,29
5039,"WIX9562-5",307.5,"2017_early","WIX9562-5",0,1,0,0,1,1,10,10,10,20,20,10,20,20,23
5040,"MN07208",602.5,"2017_early","MN07208",0,0,0,0,0,5,10,10,20,30,40,30,30,90,27
5041,"OA1357-2",543.5,"2017_early","OA1357-2",1,0,1,0,1,5,20,20,20,30,30,30,20,50,30
5042,"IL09-6937",956,"2017_early","IL09-6937",1,1,1,0,1,5,20,30,30,50,50,70,50,100,26
5043,"SD120266",943.5,"2017_early","SD120266",1,1,1,0,1,10,20,30,30,60,40,60,50,90,25
5044,"SD090240",951,"2017_early","SD090240",1,1,0,0,5,10,20,20,30,40,50,70,70,90,29
5045,"BETAGENE",651,"2017_early","BETAGENE",1,1,1,0,5,5,10,20,20,40,40,30,30,70,25
5046,"P021A1-78-1",1332.5,"2017_early","P021A1-78-1",5,1,1,0,5,20,40,50,50,50,70,90,80,100,22
5047,"WIX10045-9",328.5,"2017_early","WIX10045-9",1,0,0,0,1,5,5,10,10,20,20,10,5,60,29
5048,"WIX8787-2",603.5,"2017_early","WIX8787-2",1,1,1,0,5,10,20,20,20,30,40,20,20,70,27
5049,"OT2083",1075,"2017_early","OT2083",5,1,1,0,10,20,30,20,30,50,70,70,60,90,32
5050,"Deon",888.5,"2017_early","Deon",1,1,1,0,5,10,20,20,40,40,60,40,50,80,28
5051,"IL11-2353",936,"2017_early","IL11-2353",1,1,1,0,5,5,20,10,20,50,60,60,70,100,18
5052,"ND021052",1163.5,"2017_early","ND021052",1,1,0,0,10,10,20,20,30,60,60,90,90,100,24
5053,"WIX8791-1",656,"2017_early","WIX8791-1",1,1,1,0,1,5,10,10,20,50,30,40,40,60,26
5054,"MN08243",546,"2017_early","MN08243",1,0,0,0,1,5,5,10,20,30,30,20,40,70,29
5055,"ND101473",1021,"2017_early","ND101473",1,0,0,0,5,5,20,20,30,50,60,70,80,90,29
5056,"P021A1-78-1-5",1093.5,"2017_early","P021A1-78-1-5",1,1,1,0,1,10,20,20,30,50,60,90,90,90,22
5057,"MN10130",908.5,"2017_early","MN10130",1,1,0,0,5,5,20,30,30,50,40,50,60,90,26
5058,"WIX9487-1",538.5,"2017_early","WIX9487-1",1,1,0,0,1,5,5,10,10,30,30,30,30,90,27
5059,"SD120129",656,"2017_early","SD120129",1,0,0,0,1,1,5,10,10,30,40,50,50,100,18
5060,"MN11211",825,"2017_early","MN11211",0,0,0,0,1,5,10,20,20,40,40,60,70,90,28
5061,"IA01005-2",732.5,"2017_early","IA01005-2",0,0,0,0,0,1,10,10,20,40,40,50,50,100,20
5062,"IL02-5630",1126,"2017_early","IL02-5630",1,1,1,0,1,5,20,30,40,60,60,70,80,100,21
5063,"ND050490",775,"2017_early","ND050490",0,1,1,0,1,1,20,20,20,40,40,40,60,90,27
5064,"OA1342-2",898.5,"2017_early","OA1342-2",1,1,1,0,0,5,20,20,30,40,50,60,60,100,28
5065,"SD090248",968.5,"2017_early","SD090248",1,1,0,0,1,5,20,20,30,40,50,70,80,100,30
5066,"MN04242",938.5,"2017_early","MN04242",1,1,0,0,5,5,20,20,30,40,50,70,70,90,32
5067,"MN841801-1",757.5,"2017_early","MN841801-1",0,1,0,0,1,5,20,10,30,50,40,30,40,90,26
5068,"MN08211",507.5,"2017_early","MN08211",0,1,0,0,1,1,10,10,10,30,30,30,30,70,31
5073,"OA1253-1",836,"2017_early","OA1253-1",1,1,1,0,1,5,10,20,20,40,50,70,60,80,32
5074,"MNBT1021-1",41.5,"2017_early","MNBT1021-1",0,0,0,0,1,1,1,0,1,0,10,1,1,1,23
5075,"Deon",621,"2017_early","Deon",1,1,1,0,1,5,10,10,20,30,40,30,40,80,29
5076,"Marvelous",976,"2017_early","Marvelous",1,1,0,0,5,10,20,20,30,40,60,70,70,90,35
5077,"ND090868",998.5,"2017_early","ND090868",1,1,0,0,5,5,20,20,30,40,40,80,90,100,25
5078,"IL09-2838",1191,"2017_early","IL09-2838",1,1,1,0,5,5,20,30,40,50,70,90,90,100,25
5079,"IL09-5239",1221,"2017_early","IL09-5239",1,1,1,0,1,5,20,30,40,60,70,80,100,100,22
5080,"MN11221",808.5,"2017_early","MN11221",1,1,0,0,1,5,20,20,20,40,40,40,70,90,29
5081,"MN09255",1038.5,"2017_early","MN09255",1,1,1,0,5,10,20,30,30,50,60,70,70,90,28
5082,"Ogle",1111,"2017_early","Ogle",1,1,0,0,1,10,20,30,30,50,60,80,90,100,23
5083,"MN10209",1063.5,"2017_early","MN10209",1,1,1,0,5,10,20,30,30,50,60,70,80,90,29
5084,"MN05205",1141,"2017_early","MN05205",1,1,0,0,5,20,30,40,40,50,60,70,70,90,31
5085,"SD041445-119",1146,"2017_early","SD041445-119",1,1,1,0,10,20,20,30,30,50,80,80,70,90,30
5086,"ND040196",1086,"2017_early","ND040196",1,1,1,0,20,10,20,20,30,40,70,80,80,90,28
5087,"COLT",1441,"2017_early","COLT",1,1,1,0,10,20,30,40,60,60,80,90,100,100,19
5088,"SD120456",1200,"2017_early","SD120456",5,1,1,0,20,10,20,30,40,50,70,80,80,100,29
5089,"WIX9528-1",395,"2017_early","WIX9528-1",0,1,1,0,1,5,10,20,10,30,20,10,20,30,25
5090,"AAC_ALMONTE",1106,"2017_early","AAC_ALMONTE",1,1,1,0,30,20,20,20,30,50,50,80,80,80,30
5091,"WIX9221-8",728.5,"2017_early","WIX9221-8",1,1,0,0,10,10,20,20,30,50,40,20,30,60,22
5092,"IA02023-2-1",1432.5,"2017_early","IA02023-2-1",5,1,1,5,5,20,30,50,50,60,80,90,100,100,19
5093,"IA02130-2-3",1254.5,"2017_early","IA02130-2-3",5,1,1,1,5,20,30,40,50,50,60,80,90,90,20
5094,"SD050616",1257,"2017_early","SD050616",5,1,1,1,20,30,30,40,40,50,60,80,80,90,22
5095,"LEGGETT",791,"2017_early","LEGGETT",1,1,1,0,10,10,20,20,30,40,40,40,40,80,29
5096,"IL06-8153",1387.5,"2017_early","IL06-8153",5,5,5,5,5,20,40,50,50,50,70,90,90,100,23
5097,"WIX10055-8",328,"2017_early","WIX10055-8",1,1,1,1,1,5,5,10,10,20,30,10,10,30,30
5098,"LAO-1012-040",1167.5,"2017_early","LAO-1012-040",5,5,1,0,20,30,30,40,40,70,70,70,5,100,23
5099,"KAME",1525,"2017_early","KAME",5,5,1,0,20,30,40,50,50,70,80,90,90,100,22
5100,"Deon",1027.5,"2017_early","Deon",5,1,1,0,5,20,30,30,30,50,60,40,70,90,29
5101,"ND070182",1013.5,"2017_early","ND070182",1,1,1,0,5,20,30,20,30,50,60,60,60,90,32
5102,"IL02-8663",1362.5,"2017_early","IL02-8663",5,1,1,0,5,20,30,40,50,70,70,80,90,100,22
5103,"SD050834",1271,"2017_early","SD050834",1,1,1,0,10,20,20,30,40,70,70,70,90,100,20
5104,"GOPHER",1426,"2017_early","GOPHER",1,1,1,0,10,20,30,40,50,80,80,90,80,100,24
5105,"MN841801-1",1005.5,"2017_early","MN841801-1",1,1,1,1,1,10,30,30,30,50,60,40,70,100,24
5106,"MN03114",1408,"2017_early","MN03114",1,1,1,1,10,20,40,50,50,60,80,80,90,100,22
5107,"WPAT04P03-PY3B",768.5,"2017_early","WPAT04P03-PY3B",1,1,0,0,5,5,10,20,20,40,50,40,60,70,30
5108,"SD081577",1173.5,"2017_early","SD081577",1,1,1,0,1,10,20,30,40,50,70,80,90,100,24
5109,"Ogle",1148.5,"2017_early","Ogle",1,1,1,0,1,10,30,30,40,50,70,70,80,100,23
5110,"SD051005",1113.5,"2017_early","SD051005",1,1,0,0,1,5,20,30,40,50,70,70,80,100,20
5111,"ND040492",1201,"2017_early","ND040492",1,1,0,0,5,10,30,30,40,50,70,80,90,100,23
5112,"SD110304",1048.5,"2017_early","SD110304",1,1,1,0,1,10,30,20,30,40,60,80,80,100,22
5113,"ND060342",911,"2017_early","ND060342",1,0,0,0,1,5,20,20,20,40,60,60,70,100,30
5114,"SD041445-93",1006,"2017_early","SD041445-93",1,1,1,0,1,5,30,30,30,40,60,60,80,90,28
5115,"WIX9878-3",322.5,"2017_early","WIX9878-3",0,1,0,0,1,5,10,10,10,20,20,10,10,40,27
5116,"ND080816",1133.5,"2017_early","ND080816",1,0,0,0,1,10,20,30,30,50,70,80,90,100,29
5117,"MN06120",1078.5,"2017_early","MN06120",1,1,0,0,1,5,20,20,30,50,70,70,90,100,22
5118,"Deon",651,"2017_early","Deon",1,1,0,0,0,5,20,20,20,30,30,30,40,90,28
5119,"MN841801-1",773.5,"2017_early","MN841801-1",1,1,0,0,0,10,20,20,30,40,50,30,30,100,26
5120,"BADGER",970,"2017_early","BADGER",0,1,1,0,1,5,20,30,30,40,50,70,70,100,20
5125,"WIX10088-6",553.5,"2017_early","WIX10088-6",1,0,0,0,0,1,10,10,20,30,30,30,30,80,25
5126,"P0216A1-1",858.5,"2017_early","P0216A1-1",1,0,0,0,0,5,20,30,30,40,50,50,50,90,25
5127,"MN04120",838.5,"2017_early","MN04120",1,1,1,0,0,5,20,20,30,40,40,50,60,90,22
5128,"SD111946",923.5,"2017_early","SD111946",1,1,1,0,0,5,20,20,30,40,40,60,80,100,26
5129,"SD050945",992.5,"2017_early","SD050945",0,1,1,0,0,5,20,30,30,40,40,70,90,100,22
5130,"04P07B-GN1C",477.5,"2017_early","04P07B-GN1C",0,0,0,0,0,1,10,10,10,30,20,30,30,70,30
5131,"SD030888",1046,"2017_early","SD030888",1,1,0,0,0,5,20,30,30,50,60,80,70,100,25
5132,"IL02-8011",1306,"2017_early","IL02-8011",1,1,0,0,1,10,30,30,40,70,70,90,100,100,22
5133,"MN08260",390,"2017_early","MN08260",0,0,0,0,0,1,10,10,5,20,30,20,20,60,31
5134,"WIX9897-5",667.5,"2017_early","WIX9897-5",0,0,1,0,1,1,10,20,20,30,50,40,30,90,23
5135,"CLINTLAND64",1016,"2017_early","CLINTLAND64",1,1,0,0,0,5,20,30,30,40,60,70,80,100,22
5136,"SD111736",973.5,"2017_early","SD111736",1,1,0,0,1,5,20,30,30,40,60,60,70,100,23
5137,"IA02010-2-1",1031,"2017_early","IA02010-2-1",1,1,0,0,0,1,20,30,30,40,60,70,90,100,20
5138,"SD100015",1098.5,"2017_early","SD100015",1,1,0,0,1,5,30,30,30,50,60,70,90,100,23
5139,"IL05-3337",1276,"2017_early","IL05-3337",1,1,1,0,1,5,30,40,50,60,70,80,90,100,18
5140,"MN08138",1038.5,"2017_early","MN08138",1,1,0,0,1,5,30,30,30,40,50,70,90,100,28
5141,"AAC_OAKLIN",831,"2017_early","AAC_OAKLIN",1,1,1,0,1,5,20,20,30,30,40,50,70,90,29
5142,"MN11211",753.5,"2017_early","MN11211",1,1,0,0,1,5,20,20,20,30,40,50,60,80,29
